cylinders,$displacement,$horsepower,<weight,>acceleration,$model,origin,>mpg,!class
8,307.0,130.0,3504.0,12.0,70.0,1,18.0,class1
8,318.0,150.0,3436.0,11.0,70.0,1,18.0,class1
8,302.0,140.0,3449.0,10.5,70.0,1,17.0,class1
8,304.0,150.0,3672.0,11.5,72.0,1,17.0,class1
8,304.0,150.0,3672.0,11.5,73.0,1,14.0,class1
8,302.0,137.0,4042.0,14.5,73.0,1,14.0,class1
8,318.0,150.0,3777.0,12.5,73.0,1,15.0,class1
8,350.0,145.0,4082.0,13.0,73.0,1,15.0,class1
8,318.0,150.0,3399.0,11.0,73.0,1,15.0,class1
8,302.0,140.0,4141.0,14.0,74.0,1,16.0,class1
8,318.0,150.0,4457.0,13.5,74.0,1,14.0,class1
8,304.0,150.0,4257.0,15.5,74.0,1,14.0,class1
8,262.0,110.0,3221.0,13.5,75.0,1,20.0,class1
8,302.0,129.0,3169.0,12.0,75.0,1,13.0,class1
8,318.0,150.0,4190.0,13.0,76.0,1,16.0,class1
8,304.0,120.0,3962.0,13.9,76.0,1,15.5,class1
8,351.0,152.0,4215.0,12.8,76.0,1,14.5,class1
8,318.0,150.0,3940.0,13.2,76.0,1,13.0,class1
8,350.0,145.0,4055.0,12.0,76.0,1,13.0,class1
8,302.0,130.0,3870.0,15.0,76.0,1,13.0,class1
8,318.0,150.0,3755.0,14.0,76.0,1,13.0,class1
8,305.0,145.0,3880.0,12.5,77.0,1,17.5,class1
8,400.0,180.0,4220.0,11.1,77.0,1,16.0,class1
8,350.0,170.0,4165.0,11.4,77.0,1,15.5,class1
8,302.0,139.0,3205.0,11.2,78.0,1,18.1,class1
8,350.0,165.0,3693.0,11.5,70.0,1,15.0,class2
8,429.0,198.0,4341.0,10.0,70.0,1,15.0,class2
8,454.0,220.0,4354.0,9.0,70.0,1,14.0,class2
8,440.0,215.0,4312.0,8.5,70.0,1,14.0,class2
8,455.0,225.0,4425.0,10.0,70.0,1,14.0,class2
8,390.0,190.0,3850.0,8.5,70.0,1,15.0,class2
8,383.0,170.0,3563.0,10.0,70.0,1,15.0,class2
8,340.0,160.0,3609.0,8.0,70.0,1,14.0,class2
8,400.0,150.0,3761.0,9.5,70.0,1,15.0,class2
8,455.0,225.0,3086.0,10.0,70.0,1,14.0,class2
8,360.0,215.0,4615.0,14.0,70.0,1,10.0,class2
8,307.0,200.0,4376.0,15.0,70.0,1,10.0,class2
8,318.0,210.0,4382.0,13.5,70.0,1,11.0,class2
8,350.0,165.0,4209.0,12.0,71.0,1,14.0,class2
8,400.0,175.0,4464.0,11.5,71.0,1,14.0,class2
8,383.0,180.0,4955.0,11.5,71.0,1,12.0,class2
8,400.0,170.0,4746.0,12.0,71.0,1,13.0,class2
8,400.0,175.0,5140.0,12.0,71.0,1,13.0,class2
8,400.0,175.0,4385.0,12.0,72.0,1,14.0,class2
8,429.0,208.0,4633.0,11.0,72.0,1,11.0,class2
8,400.0,190.0,4422.0,12.5,72.0,1,13.0,class2
8,429.0,198.0,4952.0,11.5,73.0,1,12.0,class2
8,440.0,215.0,4735.0,11.0,73.0,1,13.0,class2
8,455.0,225.0,4951.0,11.0,73.0,1,12.0,class2
8,400.0,230.0,4278.0,9.5,73.0,1,16.0,class2
