cylinders,$displacement,$horsepower,<weight,>acceleration,$model,origin,>mpg,!class
4,98.0,63.0,2051.0,17.0,77.0,1,30.5,class1
4,90.0,48.0,1985.0,21.5,78.0,2,43.1,class1
4,98.0,66.0,1800.0,14.4,78.0,1,36.1,class1
4,98.0,80.0,1915.0,14.4,79.0,1,35.7,class1
4,91.0,69.0,2130.0,14.7,79.0,2,37.3,class1
4,98.0,76.0,2144.0,14.7,80.0,2,41.5,class1
4,97.0,78.0,2188.0,15.8,80.0,2,34.3,class1
4,90.0,48.0,2085.0,21.7,80.0,2,44.3,class1
4,90.0,48.0,2335.0,23.7,80.0,2,43.4,class1
4,85.0,?,1835.0,17.3,80.0,2,40.9,class1
4,89.0,62.0,1845.0,15.3,80.0,2,29.8,class1
4,86.0,64.0,1875.0,16.4,81.0,1,39.0,class1
4,98.0,65.0,2045.0,16.2,81.0,1,34.4,class1
4,98.0,65.0,2380.0,20.7,81.0,1,29.9,class1
4,105.0,74.0,2190.0,14.2,81.0,2,33.0,class1
4,100.0,?,2320.0,15.8,81.0,2,34.5,class1
4,108.0,75.0,2350.0,16.8,81.0,3,32.4,class1
4,119.0,100.0,2615.0,14.8,81.0,3,32.9,class1
4,120.0,74.0,2635.0,18.3,81.0,3,31.6,class1
4,105.0,74.0,1980.0,15.3,82.0,2,36.0,class1
4,98.0,70.0,2125.0,17.3,82.0,1,36.0,class1
4,120.0,88.0,2160.0,14.5,82.0,3,36.0,class1
4,107.0,75.0,2205.0,14.5,82.0,3,36.0,class1
4,108.0,70.0,2245.0,16.9,82.0,3,34.0,class1
4,97.0,52.0,2130.0,24.6,82.0,2,44.0,class1
